notation,domain,matrix,name,description,tag,tag,tag,tags,tags,,,,,
,Hydrological,Liquid phase,H3N (ammonia) ,"IUPAC: Ammonia, PubChem CID: 222, CAS Number: 7664-41-7",Chemical,Biogeochemistry,Water quality,biomolecule,protein,,,,,
,Hydrological,Liquid phase,dissolved organic carbon,Concentration of organic carbon after filtering the sample through 0.45 uM filter.,Chemical,Organic,Water quality,biomolecule,protein,,,,,
,Hydrological,Liquid phase,Total organic carbon (TOC),Concentration of dissolved and suspended organic carbon.,Chemical,Organic,Water quality,hydrocarbon,organophosphate,pesticide,insectitice,acute toxic,,
,Hydrological,Liquid phase,Suspended organic carbon,"Concentration of carbon bound to an organic, non-carbonated compound that can be collected on a filter.",Chemical,Organic,Water quality,hydrocarbon,PAH,Carcinogenic,bioaccumulant ,acute toxic,,
,Hydrological,Liquid phase,orthophosphate as PO4 ,Concentration of pohosphate in an orthophosphate sample,Chemical,Biogeochemistry,Water quality,hydrocarbon,PAH,Carcinogenic,acute toxic,,,
,Hydrological,Liquid phase,PO4-3 (orthophosphate),Concentration of pohosphate in a sample,Chemical,Biogeochemistry,Water quality,hydrocarbon,halocarbon,pesticide,nematicide,acute toxic,,
,Hydrological,Liquid phase,dissolved orthophosphate,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Biogeochemistry,Water quality,hydrocarbon,halocarbon,pesticide,acute toxic,,,
,Hydrological,Liquid phase,phosphate as P ,,Chemical,Biogeochemistry,Water quality,hydrocarbon,halocarbon,pesticide,nematicide,insecticide,,
,Hydrological,Liquid phase,P (phosphorus),"IUPAC: Phosphorus, PubChem CID: 5462309, CAS Number: 12185-10-3",Chemical,Biogeochemistry,Water quality,hydrocarbon,halocarbon,pesticide,acute toxic,,,
,Hydrological,Liquid phase,polyphosphate as PO4 ,,Chemical,Biogeochemistry,Water quality,hydrocarbon,organochloride,halocarbon,insecticide,acute toxic,,
,Hydrological,Liquid phase,PO4-3 (phosphate)  ,"IUPAC: phosphate, PubChem CID: 1061, CAS Number: 14265-44-2",Biogeochemistry,Minor element,Water quality,hydrocarbon,organochloride,halocarbon,insecticide,solvent,acute toxic,
,Hydrological,Liquid phase,dissolved inorganic phosphorus,Concentration after filtering the sample through 0.45 uM filter.,Biogeochemistry,Minor element,Water quality,hydrocarbon,organochloride,halocarbon,insecticide,acute toxic,,
,Hydrological,Liquid phase,reactive phosphorus,"It is a method-based term that describes what is actually measured when a test for orthophosphate is performed (https://archive.epa.gov/water/archive/web/html/vms56.html, 2021).",,,,hydrocarbon,organochloride,halocarbon,insecticide,acute toxic,,
,Hydrological,Liquid phase,C12H8 (acenaphthylene) ,"IUPAC: Acenaphthylene, PubChem CID: 9161, CAS Number: 208-96-8",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,CFC,solvent,,
,Hydrological,Liquid phase,C12H8Cl6 (aldrin),"IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Numbre: 309-00-2",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,insecticide,Carcinogenic,acute toxic,
,Hydrological,Liquid phase,C9H6Cl6O3S (alpha-endosulfan),"IUPAC: 1,9,10,11,12,12-hexachloro-4,6-dioxa-5λ4-thiatricyclo[7.2.1.0^2,8]dodec-10-ene 5-oxide",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,insecticide,Carcinogenic,acute toxic,
,Hydrological,Liquid phase,C9H6Cl6O3S (beta-endosulfan),"IUPAC: 1,9,10,11,12,12-hexachloro-4,6-dioxa-5λ4-thiatricyclo[7.2.1.0^2,8]dodec-10-ene 5-oxide",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,,,,
,Hydrological,Liquid phase,C9H6Cl6O4S (endosulfan sulfate),"IUPAC: 1,9,10,11,12,12-hexachloro-4,6-dioxa-5λ6-thiatricyclo[7.2.1.02,8]dodec-10-ene 5,5-dioxide, PubChem CID: 13940, CAS Number: 1031-07-8",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,insecticide,Carcinogenic,acute toxic,
,Hydrological,Liquid phase,C6H6Cl6 (alpha-HCH),"IUPAC: (1R,2R,3S,4S,5S,6S)-1,2,3,4,5,6-Hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,CFC,solvent,,
,Hydrological,Liquid phase,C14H16 (anthracene) ,"IUPAC: Anthracene, PubChem CID: 8418, CAS Number: 120-12-7",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,,,,
,Hydrological,Liquid phase,"C18H12 (1,2-Benzanthracene)","IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,,,,
,Hydrological,Liquid phase,"C20H12 (3,4 benzopyrene) ","IUPAC: benzo[a]pyrene, PubChem CID: 2336, CAS Number: 50-32-8 ",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,Carcinogenic,,,
,Hydrological,Liquid phase,C22H12 (benzo[ghi]perylene),"IUPAC: benzo[ghi]perylene, PubChem CID: 9117, CAS Number: 191-24-2",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,Acute toxic,corrosive,irritant,
,Hydrological,Liquid phase,C20H12 (benzo[b]fluoranthene) ,"IUPAC: Benzo[b]fluoranthene, PubChem CID: 9153, CAS Number: 205-99-2",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,Acute toxic,,,
,Hydrological,Liquid phase,C20H12 (benzo[k]fluoranthene)  ,"IUPAC: Benzo[k]fluoranthene, PubChem CID: 9158, CAS Number: 207-08-9",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,corrosive,,,
,Hydrological,Liquid phase,C6H4BrF4 (p-Bromofluorobenzene),"IUPAC: 1-Bromo-4-fluorobenzene, PubChem CID: 9993, CAS Number: 460-00-4",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,pesticide ,nematicide,corrosive,
,Hydrological,Liquid phase,CH2BrCl (Bromochloromethane) ,"IUPAC: bromo(chloro)methane, PubChem CID: 6333, CAS Number: 74-97-5",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,corrosive,,,
,Hydrological,Liquid phase,CHBrCl2 (dichlorobromomethane) ,"IUPAC: bromo(dichloro)methane, PubChem CID: 6359, CAS Number: 75-27-4",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,pesticide ,nematicide,corrosive,
,Hydrological,Liquid phase,C10H12BrCl2O3PS (Ethyl bromophos) ,"IUPAC: (4-bromo-2,5-dichlorophenoxy)-diethoxy-sulfanylidene-λ5-phosphane, PubChem CID: 20965, CAS Number: 4824-78-6",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,insecticide,acute toxic,,
,Hydrological,Liquid phase,"C10H6Cl8 (alpha-chlordane, cis-chlordane)","IUPAC: (1R,2R,3S,4R,6R,7S)-1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.02,6]dec-8-ene, PubChem CID: 12303035, CAS Number: 5103-71-9",Chemical,Organic,Water quality,hydrocarbon,PAH,,,,,
,Hydrological,Liquid phase,C7H7Cl (o-chlorotoluene) ,"IUPAC: 1-chloro-2-methylbenzene, PubChem CID: 7238, CAS Number: 95-49-8",Chemical,Organic,Water quality,hydrocarbon,,,,,,
,Hydrological,Liquid phase,C7H7Cl (p-chlorotoluene) ,"IUPAC: 1-chloro-4-methylbenzene, PubChem CID: 7810, CAS Number: 106-43-4",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,pesticide,insecticide,,
,Hydrological,Liquid phase,C7H7ClO(Chlorocresol)  ,"IUPAC: 4-chloro-3-methylphenol, PubChem CID: 1732, CAS Number: 59-50-7",Chemical,Organic,Water quality,hydrocarbon,organophosphate,pesticide,insecticide,,,
,Hydrological,Liquid phase,"C6H5Cl (Chlorobenzene, Monochlorobenzene)  ","IUPAC: chlorobenzene, PubChem CID: 7964, CAS Number: 108-90-7",Chemical,Organic,Water quality,hydrocarbon,flammable,,,,,
,Hydrological,Liquid phase,C2H5Cl (ethyl chloride)  ,"IUPAC: chloroethane, PubChem CID: 6337, CAS Number: 75-00-3",Chemical,Organic,Water quality,hydrocarbon,PAH,Carcinogenic,,,,
,Hydrological,Liquid phase,"C2H3Cl (vinyl chloride, PVC)  ","IUPAC: chloroethene, PubChem CID: 6338, CAS Number: 9002-86-2",Chemical,Organic,Water quality,hydrocarbon,PAH,,,,,
,Hydrological,Liquid phase,trihalomethane ,"Volatile chemical compounds that are generated during the water purification process by the reaction of organic matter, not yet treated, with the chlorine used to disinfect.",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,insecticide,Carcinogenic,,
,Hydrological,Liquid phase,"CH3Cl (methyl chloride,  chloromethane) ","IUPAC: chloromethane, PubChem CID: 6327, CAS Number: 74-87-3",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,insecticide,Carcinogenic,,
,Hydrological,Liquid phase,C6H5ClO (2-chlorophenol-D4)  ,"IUPAC: 2-chloro-3,4,5,6-tetradeuteriophenol, PubChem CID: 16212938, CAS Number: 93951-73-6",Chemical,Organic,Water quality,hydrocarbon,halocarbon,,,,,
,Hydrological,Liquid phase,C6H5ClO (2-chlorophenol) ,"IUPAC: 2-chlorophenol, PubChem CID: 7245, CAS Number: 95-57-8",Chemical,Organic,Water quality,hydrocarbon,halocarbon,,,,,
,Hydrological,Liquid phase,C7H7Cl (benzyl chloride)  ,"IUPAC: chloromethylbenzene, PubChem CID: 7503, CAS Number: 100-44-7",Chemical,Organic,Water quality,hydrocarbon,,,,,,
,Hydrological,Liquid phase,chlorophyll a ,"indicator of the amount of photosynthetic plankton, or phytoplankton, present in rivers and oceans. Visual color: green",Chemical,Organic,Water quality,hydrocarbon,organochloride,pesticide,acute toxic,,,
,Hydrological,Liquid phase,chlorophyll b ,"indicator of the amount of photosynthetic pigments present in the chloroplasts of brown algae, diatoms, and heptophytes. Visual color: reddish-brown ",Chemical,Organic,Water quality,hydrocarbon,organochloride,pesticide,acute toxic,,,
,Hydrological,Liquid phase,chlorophyll c ,"indicator of the amount of photosynthetic plankton, or phytoplankton, present in rivers and oceans. visual color: blue-green ",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,insecticide,Carcinogenic,,
,Hydrological,Liquid phase,chlorophyll ,"It is used to indirectly estimate the biomass of phytoplankton communities, since it is the main photosynthetic pigment present in algae.",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,insecticide,acute toxic,,
,Hydrological,Liquid phase,"C9H11Cl3NO3PS (Chlorpyriphos, Dursban) ","IUPAC: diethoxy-sulfanylidene-(3,5,6-trichloropyridin-2-yl)oxy-λ5-phosphane, PubChem CID: 2730, CAS Number: 2921-88-2",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,PAH,flammable,,
,Hydrological,Liquid phase,"C18H12 (chrysene, Benzo[a]phenanthrene) ","IUPAC: chrysene, PubChem CID: 9171, CAS Number: 218-01-9",Chemical,Organic,Water quality,hydrocarbon,,,,,,
,Hydrological,Liquid phase,"C22H14 (Dibenz[a,h]anthracene)","IUPAC: naphtho[1,2-b]phenanthrene, PubChem CID: 5889, CAS Number: 53-70-3",Chemical,Organic,Water quality,hydrocarbon,acute toxic,flammable,,,,
,Hydrological,Liquid phase,"C3H5Br2Cl (DBCP, Dibronochloropropane)","IUPAC: 1,2-dibromo-3-chloropropane, PubChem CID: 7280, CAS Number: 96-12-8",Chemical,Organic,Water quality,hydrocarbon,PAH,Insecticide,acute toxic,flammable,,
,Hydrological,Liquid phase,ChBr2Cl (dibromochloromethane) ,"IUPAC: dibromo(chloro)methane, PubChem CID: 31296, CAS Number: 124-48-1",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C2H4Br2 (ethylene dibromide) ,"IUPAC: 1,2-dibromoethane, PubChem CID: 7839, CAS Number: 106-93-4",Chemical,Organic,Water quality,hydrocarbon,phenol,,,,,
,Hydrological,Liquid phase,"C3H4Cl2  (1,1-dichloropropylene)  ","IUPAC:1,1-dichloroprop-1-ene, PubChem CID: 11245, CAS Number: 563-58-6",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,,,,
,Hydrological,Liquid phase,"C4H6Cl2 (cis-1,4-dichloro-2-butene) ","IUPAC: (Z)-1,4-dichlorobut-2-ene, PubChem CID: 6432115, CAS Number: 1476-11-5",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C4H4Cl2 (orthodichlorobenzene, o-Dichlorbenzol) ","IUPAC: 1,2-dichlorobenzene, PubChem CID: 7239, CAS Number: 95-50-1",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,insecticide,acute toxic,,
,Hydrological,Liquid phase,C6H4Cl2 (meta-dichlorobenzene)  ,"IUPAC: 1,3-dichlorobenzene, PubChem CID: 10943, CAS Number: 541-73-1",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,insecticide,phenol,,
,Hydrological,Liquid phase,C6H4Cl2 (para-dichlorobenzene)  ,"IUPAC: 1,4-dichlorobenzene, PubChem CID: 4685, CAS Number: 106-46-7",Chemical,Organic,Water quality,hydrocarbon,PAH,,,,,
,Hydrological,Liquid phase,CCl2F2 (dichlorodifluoromethane) ,"IUPAC: dichloro(difluoro)methane, PubChem CID: 6391, CAS Number: 75-71-8",Chemical,Organic,Water quality,hydrocarbon,phenol,,,,,
,Hydrological,Liquid phase,"C14H10Cl4 (Dichlorodiphenyldichloroethane, DDD)","IUPAC: 1,1′-(2,2-dichloroethane-1,1-diyl)bis(4-chlorobenzene), PubChem CID: 6294, CAS Number: 72-54-8",Chemical,Organic,Water quality,hydrocarbon,phenol,disinfectant,,,,
,Hydrological,Liquid phase,"C14H9Cl5 (Dichlorodiphenyltrichloroethane, DDT)","IUPAC: 1,1′-(2,2,2-Trichloroethane-1,1-diyl)bis(4-chlorobenzene), PubChem CID: 3036, CAS Number: 50-29-3",Chemical,Organic,Water quality,hydrocarbon,,,,,,
,Hydrological,Liquid phase,"C16H15Cl3O2 (methoxychlor, methoxy-DDT)","IUPAC: 1,1,1-trichloro-2,2-bis(4-methoxyphenyl)ethane, PubChem CID: 4115, CAS Number: 72-43-5",Chemical,Organic,Water quality,hydrocarbon,organochloride,pesticide,insecticide,,,
,Hydrological,Liquid phase,"C14H8Cl4 (dichlorodiphenyldichloroethylene, DDE)","IUPAC: 1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, PubChem CID: 3035, CAS Number: 72-55-9",Chemical,Organic,Water quality,hydrocarbon,organochloride,pesticide,insecticide,,,
,Hydrological,Liquid phase,C2H4Cl2 (Ethylidene dichloride)  ,"IUPAC: 1,1-dichloroethane, PubChem CID: 6365, CAS Number: 75-34-3",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C2H2Cl2 (vinylidene chloride)  ,"IUPAC: 1,1-Dichloroethene, PubChem CID: 6366, CAS Number: 75-35-4",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,solvent,Carcinogenic,,
,Hydrological,Liquid phase,"C2H2Cl2 (cis-1,2-Dichloroethene) ","IUPAC: (Z)-1,2-dichloroethene, PubChem CID: 643833, CAS Number: 156-59-2",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,solvent,Carcinogenic,,
,Hydrological,Liquid phase,CH2Cl (methylene chloride)  ,"IUPAC: Dichloromethane, PubChem CID: 6344, CAS Number: 75-09-2",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,solvent,,,
,Hydrological,Liquid phase,"C6H4Cl2O (2,4-dichlorophenol) ","IUPAC: 2,4-dichlorophenol, PubChem CID: 8449, CAS Number: 120-83-2",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,,,,
,Hydrological,Liquid phase,"C8H6Cl2O3 (2,4-D)","IUPAC: 2,4-dichlorophenoxyacetic acid, PubChem CID: 1486, CAS Number: 94-75-7",Chemical,Organic,Water quality,hydrocarbon,,,,,,
,Hydrological,Liquid phase," C6H4Cl2O (2,6-dichlorophenol) ","IUPAC: 2,6-dichlorophenol, PubChem CID: 6899, CAS Number: 87-65-0",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,solvent,,,
,Hydrological,Liquid phase,"C3Cl2H6 (1,3-dichloropropane)  ","IUPAC: 1,3-dichloropropane, PubChem CID: 8881, CAS Number: 142-28-9",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,solvent,acute toxic,,
,Hydrological,Liquid phase,"C3H6Cl2 (2,2-dichloropropane) ","IUPAC: 2,2-dichloropropane, PubChem CID: 11660, CAS Number: 594-20-7",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,pesticide,nematicide,acute toxic,
,Hydrological,Liquid phase,"C3H4Cl2 (cis-1,3-dichloropropene) ","IUPAC: (Z)-1,3-dichloroprop-1-ene, PubChem CID: 5280970, CAS Number: 10061-01-5",Chemical,Organic,Water quality,hydrocarbon,halocarbon,solvent,acute toxic,,,
,Hydrological,Liquid phase,C12H8Cl6O (dieldrin),"IUPAC: (1aR,2R,2aS,3S,6R,6aR,7S,7aS)-3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphtho[2,3-b]oxirene, PubChem CID: 969491, CAS Number: 60-57-1",Chemical,Organic,Water quality,hydrocarbon,halocarbon,,,,,
,Hydrological,Liquid phase,C12H10 (acenaphthene) ,"IUPAC: 1,2-Dihydroacenaphthylene, PubChem CID: 6734, CAS Number: 83-32-9",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,,,,
,Hydrological,Liquid phase,"C8H10O (2,4-dimethylphenol) ","IUPAC: 2,4-dimethylphenol, PubChem CID: 7771, CAS Number: 105-67-9",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,,,,
,Hydrological,Liquid phase,"C12H8Cl6O (endrin, 1,2,3,4,10,10-hexachloro-6,7-epoxy-1,4,4a,5,6,7,8,8a-octahydro-exo-1,4-exo-5,8-dimethanonaphthalene)","IUPAC: 3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene, PubChem CID: 3048, CAS Number: 60-57-1",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,solvent,,,
,Hydrological,Liquid phase,C9H22O4P2S4 (Ethion) ,"IUPAC: Dietoxifosfinotiosulfanimetilsulfanil-dietoxi-sulfaniledina-5-fosfano, PubChem CID: 3286, CAS Number: 563-12-2",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,solvent,,,
,Hydrological,Liquid phase,"C8H10 (ethylbenzene, Ethylbenzol, Phenylethane) ","IUPAC: ethylbenzene, PubChem CID: 7500, CAS Number: 100-41-4",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,,,,
,Hydrological,Liquid phase,C16H10 (fluoranthene) ,"IUPAC: fluoranthene, PubChem CID: 9154, CAS Number: 206-44-0",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,CFC,,,
,Hydrological,Liquid phase,C13H10 (fluorene) ,"IUPAC: 9H-fluorene, PubChem CID: 6853, CAS Number: 86-73-7",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,,,,
,Hydrological,Liquid phase,"C6H6Cl6 (lindane, hexachlorocyclohexane, HCH, beta-hexachlorocyclohexane)","IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,,,,
,Hydrological,Liquid phase,"C6H6Cl6 (delta-lindane, delta-hexachlorocyclohexane, δ-HCH)","IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-86-8",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,,,,
,Hydrological,Liquid phase,halogenoalkane ,Concentration of groups of chemical compounds derived from alkanes containing one or more halogens. Also halogenoalkanes or alkyl halides.,Chemical,Organic,Water quality,hydrocarbon,halocarbon,Carcinogenic,,,,
,Hydrological,Liquid phase,halocarbon ,"Concentration of carbon compounds in which one or more carbon atoms are linked by covalent bonds with one or more halogen atoms (fluorine, chlorine, bromine or iodine)",Chemical,Organic,Water quality,hydrocarbon,,,,,,
,Hydrological,Liquid phase,purgeable halocarbon ,,Chemical,Organic,Water quality,hydrocarbon,Biocide,acute toxic,,,,
,Hydrological,Liquid phase,C10H5Cl7 (Heptachlor),"IUPAC: 1,4,5,6,7,8,8-Heptachloro-3a,4,7,7a-tetrahydro-1H-4,7-methanoindene, PubChem CID: 3589, CAS Number: 76-44-8",Chemical,Organic,Water quality,hydrocarbon,Biocide,acute toxic,,,,
,Hydrological,Liquid phase,C10H5Cl7O (Heptachlor epoxide),"IUPAC: 1,6,8,9,10,11,11-heptachloro-4-oxatetracyclo[6.2.1.02,7.03,5]undec-9-ene, PubChem CID:  13930, CAS Number: 1024-57-3",Chemical,Organic,Water quality,hydrocarbon,organochloride,halocarbon,insecticide,acute toxic,,
,Hydrological,Liquid phase,"C6Cl6 (Hexachlorbenzene, Perchlorobenzene) ","IUPAC: 1,2,3,4,5,6-hexachlorobenzene, PubChem CID: 8370, CAS Number: 118-74-1",Chemical,Organic,Water quality,hydrocarbon,organophosphate,insecticide,acute toxic,,,
,Hydrological,Liquid phase,C4Cl6 (Hexachlorobutadiene) ,"IUPAC: 1,1,2,3,4,4-hexachlorobuta-1,3-diene, PubChem CID: 6901, CAS Number: 87-68-3",Chemical,Organic,Water quality,hydrocarbon,organophosphate,insecticide,acute toxic,,,
,Hydrological,Liquid phase,"C22H12 (indeno(1,2,3-c,d)pyrene) ","IUPAC: hexacyclo[16.3.1.02,7.08,21.011,20.014,19]docosa-1(22),2,4,6,8(21),9,11(20),12,14(19),15,17-undecaene, PubChem CID: 9131, CAS Number: 193-39-5",Chemical,Organic,Water quality,hydrocarbon,organochloride,pesticide,insecticide,,,
,Hydrological,Liquid phase,"C21H24O3 (Methylphenol, Cresol) ","IUPAC: 2-methylphenol;3-methylphenol;4-methylphenol, PubChem CID: 24693, CAS Number: 1319-77-3",Chemical,Organic,Water quality,hydrocarbon,organochloride,pesticide,insecticide,acaricide,,
,Hydrological,Liquid phase,C7H8O (o-cresol) ,"IUPAC: 2-methylphenol, PubChem CID: 335, CAS Number: 95-48-7",Chemical,Organic,Water quality,hydrocarbon,organophosphate,pesticide,insecticide,acaricide,,
,Hydrological,Liquid phase,C10H8 (Naphthalene),"IUPAC: bicyclo[4.4.0]deca-1,3,5,7,9-pentene, PubChem CID: 931, CAS Number: 91-20-3 ",Chemical,Organic,Water quality,hydrocarbon,organophosphate,pesticide,insecticide,nematicide,,
,Hydrological,Liquid phase,organic nitrogen ,"Organic nitrogen in aquatic environments consists of truly dissolved organic nitrogen (DON) and particulate organic nitrogen (PON-is the material that is retained on the filter, includes both dead organic matter and living organisms that are larger than 0.2 μm.)",Chemical,Organic,Water quality,hydrocarbon,organochloride,pesticide,insecticide,,,
,Hydrological,Liquid phase,C6H5NO3 (o-Nitrophenol),"IUPAC: 2-nitrophenol, PubChem CID: 6947, CAS Number: 88-75-5",Chemical,Organic,Water quality,hydrocarbon,organophosphate,pesticide,insecticide,biocide,acute toxic,Carcinogenic
,Hydrological,Liquid phase,organochloride ,Organic compound containing at least one covalent carbon-chlorine bond,Chemical,Organic,Water quality,hydrocarbon,organophosphate,pesticide,insecticide,,,
,Hydrological,Liquid phase,organophosphate ,,Chemical,Organic,Water quality,hydrocarbon,organophosphate,pesticide,larvicide,,,
,Hydrological,Liquid phase,C2HCl5 (pentachloroethane) ,"IUPAC: 1,1,1,2,2-pentachloroethane, PubChem CID: 6419, CAS Number: 76-01-7",Chemical,Organic,Water quality,hydrocarbon,organophosphate,pesticide,insecticide,,,
,Hydrological,Liquid phase,C6HCl5O (Pentachlorophenol) ,"IUPAC: 2,3,4,5,6-pentachlorophenol, PubChem CID: 992, CAS Number: 87-86-5",Chemical,Organic,Water quality,hydrocarbon,organophosphate,pesticide,insecticide,,,
,Hydrological,Liquid phase,C14H10 (Phenanthrene) ,"IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C6H6O (Phenol-d6) ,"IUPAC: 1,2,3,4,5-pentadeuterio-6-deuteriooxybenzene, PubChem CID: 123295, CAS Number: 13127-88-3",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C6H5OH (Carbolic acid, phenol) ","IUPAC: Phenol, PubChem CID: 996, CAS Number:108-95-2",Chemical,Organic,Water quality,hydrocarbon,organophosphate,pesticide,insecticide,,,
,Hydrological,Liquid phase,organic phosphorus ,Concentration of  organic compounds containing phosphorus.,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C16H10 (Pyrene) ,"IUPAC: pyrene, PubChem CID: 31423, CAS Number: 129-00-0",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C8H8 (Phenylethene, Styrene) ","IUPAC: Styrene, PubChem CID: 7501, CAS Number: 100-42-5",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,organic sulfur ,,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C2H2Cl4 (1,1,1,2-tetrachloroethane, R-130a) ","IUPAC: 1,1,1,2-tetrachloroethane, PubChem CID: 12818, CAS Number: 630-20-6",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C2H2Cl4 (R130) ,"IUPAC: 1,1,2,2-tetrachloroethane, PubChem CID: 6591, CAS Number: 79345 ",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C2Cl4 (tetrachloroethylene) ,"IUPAC: 1,1,2,2-tetrachloroethene, PubChem CID: 31373, CAS Number: 127-18-4",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"CCl4 (Carbon tetrachloride, Tetrachloromethane, Perchloromethane)","IUPAC: tetrachloromethane, PubChem CID: 5943, CAS Number: 56-23-5",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C6H6 (benzene),"IUPAC: Benzene, PubChem CID: 241, CAS Number: 71432 ",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C2H2Cl2 ((E)-1,2-Dichloroethene) ","IUPAC: (E)-1,2-dichloroethene, PubChem CID: 638186, CAS Number: 156-60-5",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C4H6Cl2 (trans-1,4-dichloro-2-butene) ","IUPAC: 1,4-Dichlorobut-2-ene, PubChem CID: 642197, CAS Number: 110-57-6",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C3H4Cl2 (trans 1,3-dichloropropene) ","IUPAC: (E)-1,3-dichloroprop-1-ene, PubChem CID: 24726, CAS Number: 10061-02-6",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,CHBr3 (bromoform) ,"IUPAC: Tribromomethane, PubChem CID: 5558, CAS Number: 75-25-2",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C6H3Br3O (2,4,6-tribromophenol, Tribromophenol) ","IUPAC: 2,4,6-tribromophenol, PubChem CID: 1483, CAS Number: 118-79-6",Chemical,Organic,Water quality,,,,,,,
